date,home_team,score,away_team
14-08-2021,Alaves,1 - 4,Real Madrid
21-08-2021,Alaves,0 - 1,Mallorca
27-08-2021,Valencia,3 - 0,Alaves
18-09-2021,Alaves,0 - 2,Osasuna
22-09-2021,Espanol,1 - 0,Alaves
25-09-2021,Alaves,1 - 0,Ath Madrid
01-10-2021,Ath Bilbao,1 - 0,Alaves
18-10-2021,Alaves,0 - 1,Betis
23-10-2021,Cadiz,0 - 2,Alaves
26-10-2021,Alaves,1 - 0,Elche
30-10-2021,Barcelona,1 - 1,Alaves
06-11-2021,Alaves,2 - 1,Levante
20-11-2021,Sevilla,2 - 2,Alaves
27-11-2021,Alaves,1 - 2,Celta
03-12-2021,Granada,2 - 1,Alaves
11-12-2021,Alaves,1 - 1,Getafe
18-12-2021,Vallecano,2 - 0,Alaves
21-12-2021,Villarreal,5 - 2,Alaves
02-01-2022,Alaves,1 - 1,Sociedad
09-01-2022,Alaves,0 - 0,Ath Bilbao
18-01-2022,Betis,4 - 0,Alaves
23-01-2022,Alaves,0 - 1,Barcelona
05-02-2022,Elche,3 - 1,Alaves
13-02-2022,Alaves,2 - 1,Valencia
19-02-2022,Real Madrid,3 - 0,Alaves
26-02-2022,Getafe,2 - 2,Alaves
04-03-2022,Alaves,0 - 0,Sevilla
13-03-2022,Sociedad,1 - 0,Alaves
19-03-2022,Alaves,2 - 3,Granada
02-04-2022,Ath Madrid,4 - 1,Alaves
10-04-2022,Osasuna,1 - 0,Alaves
16-04-2022,Alaves,1 - 0,Vallecano
19-04-2022,Mallorca,2 - 1,Alaves
30-04-2022,Alaves,2 - 1,Villarreal
07-05-2022,Celta,4 - 0,Alaves
11-05-2022,Alaves,2 - 1,Espanol
15-05-2022,Levante,3 - 1,Alaves
22-05-2022,Alaves,0 - 1,Cadiz
16-08-2021,Elche,0 - 0,Ath Bilbao
21-08-2021,Ath Bilbao,1 - 1,Barcelona
28-08-2021,Celta,0 - 1,Ath Bilbao
11-09-2021,Ath Bilbao,2 - 0,Mallorca
18-09-2021,Ath Madrid,0 - 0,Ath Bilbao
21-09-2021,Ath Bilbao,1 - 2,Vallecano
25-09-2021,Valencia,1 - 1,Ath Bilbao
01-10-2021,Ath Bilbao,1 - 0,Alaves
23-10-2021,Ath Bilbao,2 - 1,Villarreal
26-10-2021,Espanol,1 - 1,Ath Bilbao
31-10-2021,Sociedad,1 - 1,Ath Bilbao
05-11-2021,Ath Bilbao,0 - 1,Cadiz
19-11-2021,Levante,0 - 0,Ath Bilbao
26-11-2021,Ath Bilbao,2 - 2,Granada
01-12-2021,Real Madrid,1 - 0,Ath Bilbao
06-12-2021,Getafe,0 - 0,Ath Bilbao
11-12-2021,Ath Bilbao,0 - 1,Sevilla
19-12-2021,Ath Bilbao,3 - 2,Betis
22-12-2021,Ath Bilbao,1 - 2,Real Madrid
03-01-2022,Osasuna,1 - 3,Ath Bilbao
09-01-2022,Alaves,0 - 0,Ath Bilbao
23-01-2022,Vallecano,0 - 1,Ath Bilbao
07-02-2022,Ath Bilbao,2 - 1,Espanol
14-02-2022,Mallorca,3 - 2,Ath Bilbao
20-02-2022,Ath Bilbao,4 - 0,Sociedad
27-02-2022,Barcelona,4 - 0,Ath Bilbao
07-03-2022,Ath Bilbao,3 - 1,Levante
13-03-2022,Betis,1 - 0,Ath Bilbao
18-03-2022,Ath Bilbao,1 - 1,Getafe
03-04-2022,Ath Bilbao,2 - 1,Elche
09-04-2022,Villarreal,1 - 1,Ath Bilbao
17-04-2022,Ath Bilbao,0 - 2,Celta
21-04-2022,Cadiz,2 - 3,Ath Bilbao
30-04-2022,Ath Bilbao,2 - 0,Ath Madrid
